street;zip_code;city;region;country
1 Monica Place;;Sauce;;Uruguay
7947 Warbler Way;357-0211;Hannō;;Japan
3483 Monterey Avenue;;Balkanabat;;Turkmenistan
6328 Sunfield Road;429174;Shemursha;;Russia
4347 Mariners Cove Point;4805-358;Ronfe;Braga;Portugal
7 South Hill;;Watodei;;Indonesia
74 American Circle;;Yoro;;Honduras
31581 Gale Crossing;6539;Nijmegen;Provincie Gelderland;Netherlands
9620 Dorton Parkway;;Chongxing;;China
6466 Glacier Hill Junction;2720;Zoetermeer;Provincie Zuid-Holland;Netherlands
94 Express Trail;47302;Oštarije;;Croatia
582 Mifflin Road;;Koubia;;Guinea
5303 Graceland Avenue;4518;Yuto;;Argentina
2437 Waywood Alley;10150;New York City;New York;United States
0241 Montana Circle;;Toyós;;Honduras
5326 1st Circle;;Jieting;;China
8018 Gulseth Junction;;Sumberbaru;;Indonesia
41 Doe Crossing Place;;Bandar-e Ganāveh;;Iran
01604 Melody Terrace;N8M;Pilot Butte;Saskatchewan;Canada
0 Vernon Hill;24118;Kiel;Schleswig-Holstein;Germany
0673 Maple Wood Pass;;Zaliznychne;;Ukraine
117 Marquette Point;;Nancun;;China
62827 Brown Road;;Jiuheyuan;;China
75592 Iowa Crossing;353993;Novorossiysk;;Russia
99819 Express Way;6262;Kičevo;;Macedonia
0 Melody Road;939-2759;Kuragaki-kosugi;;Japan
849 Northland Circle;;Jinqiao;;China
4174 Southridge Drive;;Bombu;;Indonesia
3018 Mayer Alley;;Batulayang;;Indonesia
8529 Banding Parkway;;Buđanovci;;Serbia
77600 Eastlawn Point;84400-000;Prudentópolis;;Brazil
72 Marquette Lane;;Alofi;;Niue
453 Towne Place;;Jiantang;;China
4084 Weeping Birch Plaza;969-1783;Tottori;;Japan
32 Buell Lane;70000-000;Brasília;;Brazil
6166 Loftsgordon Street;3524;Alannay;;Philippines
350 Commercial Trail;;Ampelákia;;Greece
72 Nelson Circle;;Xiaochuan;;China
0 Stuart Plaza;5782;Waipawa;;New Zealand
6110 Jenifer Terrace;;Donetsk;;Ukraine
313 Ridgeway Pass;4201;Santa Rita Aplaya;;Philippines
03956 International Hill;533 13;Řečany nad Labem;;Czech Republic
05 West Park;;Jayune;;Peru
7 Merchant Point;;Laixi;;China
65 Dottie Way;45450-000;Gandu;;Brazil
3 Fair Oaks Point;E1W;Pemberton;British Columbia;Canada
8950 Kings Junction;2865-613;Morgados;Setúbal;Portugal
164 Farragut Lane;5899;Adelaide Mail Centre;South Australia;Australia
298 Lotheville Center;52405;Cedar Rapids;Iowa;United States
7 Bartelt Trail;;Al Fukhkhārī;;Palestinian Territory
138 Del Mar Terrace;301806;Kaltan;;Russia
30193 Melrose Circle;35150-000;Açucena;;Brazil
8038 Warbler Street;;Yilongyong;;China
6 Blue Bill Park Circle;7250;Picton;;New Zealand
84 Mallard Place;;Kufayrit;;Palestinian Territory
0751 Reindahl Point;5001;Aganan;;Philippines
0 Almo Place;;Norakert;;Armenia
564 Wayridge Court;;Rainis;;Indonesia
9 Bultman Parkway;6130;La Carlota;;Philippines
4477 Clemons Terrace;;Zhangwan;;China
02 Lindbergh Plaza;23-210;Kraśnik;;Poland
76797 Tennessee Plaza;;Surulangun Rawas;;Indonesia
662 Dakota Pass;677027;Yakutsk;;Russia
38 Thackeray Road;;Sukorejo;;Indonesia
2 La Follette Crossing;33-160;Ryglice;;Poland
3633 Dahle Court;L-8711;Boevange-sur-Attert;;Luxembourg
11429 Melrose Parkway;646575;Baryshevo;;Russia
37 Evergreen Crossing;;Amuru;;Uganda
1 Milwaukee Junction;56180-000;Cabrobó;;Brazil
79329 Merchant Lane;64145 CEDEX;Billère;Aquitaine;France
81051 Badeau Lane;;Tozeur;;Tunisia
56 Alpine Center;;Gelemso;;Ethiopia
473 Eagle Crest Alley;;Mahekou;;China
0 Steensland Alley;;Bektemir;;Uzbekistan
829 Veith Center;;Longka;;Indonesia
84 Hoepker Trail;;Bakhmach;;Ukraine
943 Melvin Place;64504;Saint Joseph;Missouri;United States
711 Jenifer Court;806;Oslo;Oslo;Norway
84469 Alpine Court;11102;Monte Plata;;Dominican Republic
309 Logan Avenue;33000;Virovitica;;Croatia
34 Garrison Street;;Shaoyang;;China
3 Roxbury Crossing;;Chiduo;;China
2860 Grover Drive;;Jianling;;China
0 Loftsgordon Terrace;9034;Cajolá;;Guatemala
12397 Jana Junction;21292;Srinjine;;Croatia
375 Old Shore Court;652849;Myski;;Russia
0 Crownhardt Court;;Kuma;;Indonesia
61 Parkside Parkway;;Cholargós;;Greece
9 Eagle Crest Parkway;53263;Milwaukee;Wisconsin;United States
00777 Mandrake Avenue;;Izyaslav;;Ukraine
769 Merchant Court;;Jiangkou;;China
73140 Hagan Crossing;;Danchang;;China
58188 Rowland Alley;368157;Kalininaul;;Russia
15 Ohio Center;;Anabar;;Nauru
06 Tennessee Pass;75694;Guadalupe Victoria;Puebla;Mexico
90 Park Meadow Point;5009;Anilao;;Philippines
04277 Washington Terrace;11054;Port Washington;New York;United States
2047 Melby Court;;El Alto;;Peru
5 Mayer Plaza;238158;Chernyakhovsk;;Russia
11488 Moland Point;37129;Verona;Veneto;Italy
27 Merry Plaza;51700;San Miguel;Mexico;Mexico
507 Cambridge Avenue;;Zhangbang;;China
912 Forster Terrace;9940-035;Prainha de Baixo;Ilha do Pico;Portugal
267 Holy Cross Way;;Mocho;;Jamaica
527 Lakewood Place;;Ondangwa;;Namibia
68 Green Plaza;;Huanggang;;China
883 Glacier Hill Alley;78-450;Grzmiąca;;Poland
726 Arapahoe Crossing;86083 CEDEX 9;Poitiers;Poitou-Charentes;France
70 Rieder Junction;3403;Daykitin;;Philippines
4717 Mcguire Point;;Khondāb;;Iran
31100 Macpherson Road;72199;North Little Rock;Arkansas;United States
81 Homewood Street;;Valjevo;;Serbia
6203 Lien Pass;999-8531;Yuza;;Japan
7 Fallview Place;;Ganquan;;China
2628 Trailsway Center;4103;Imus;;Philippines
81 Warbler Crossing;55900-000;Goiana;;Brazil
58 Lyons Way;;Dawang;;China
4 Dryden Terrace;;Huanghe;;China
81532 Ohio Center;70211;Shāhdādkot;;Pakistan
71 Northland Circle;;Hongqiao;;China
0484 Straubel Parkway;;Sadek;;Vietnam
59 Bartillon Circle;5125;Malvinas Argentinas;;Argentina
07 Upham Street;;Trảng Bom;;Vietnam
36 Kings Court;;Bururi;;Burundi
7071 Marquette Way;20359;Hamburg;Hamburg;Germany
0909 Fisk Alley;659410;Shubenka;;Russia
0 Dapin Avenue;250 66;Zdiby;;Czech Republic
50 Heath Alley;;Ti-n-Essako;;Mali
6 Lakeland Avenue;;Anjozorobe;;Madagascar
3203 Red Cloud Parkway;;Shuangxikou;;China
8 Jenna Circle;;Binkolo;;Sierra Leone
2 Memorial Trail;;Chagou;;China
054 Ramsey Avenue;;Santa Eulalia;;Peru
1 Hoffman Place;36-221;Blizne;;Poland
2710 Messerschmidt Way;;Jingning Chengguanzhen;;China
8 Paget Trail;;Nangerang;;Indonesia
40334 Donald Terrace;;Homa Bay;;Kenya
00352 Pankratz Center;;Jinka;;Ethiopia
11087 Tennessee Road;36415-000;Congonhas;;Brazil
9 Dwight Pass;;Yanglinwei;;China
41 Rowland Parkway;;Āl Ma‘ūdah;;Yemen
0876 Scofield Parkway;;Quận Bốn;;Vietnam
02 Esker Alley;;Sempol;;Indonesia
2 Glendale Lane;;Émponas;;Greece
73959 Dennis Crossing;53088;Akademija (Kaunas);;Lithuania
26409 Sutherland Trail;5507;Looc;;Philippines
65 Delaware Point;;Pepayan;;Indonesia
37 Merrick Park;188992;Svetogorsk;;Russia
604 Spaight Junction;;Hisya;;Syria
3566 Pepper Wood Pass;;‘Abs;;Yemen
82 Brentwood Center;;Nailung;;China
2001 Boyd Alley;1771;Randfontein;;South Africa
56158 Transport Lane;296 24;Åhus;Skåne;Sweden
544 Holmberg Point;777 34;Smedjebacken;Dalarna;Sweden
36174 Russell Terrace;56109 CEDEX;Lorient;Bretagne;France
47 Hansons Center;;Mazowe;;Zimbabwe
8734 Hovde Parkway;;Tawangrejo;;Indonesia
1 Ridge Oak Court;57052 CEDEX 02;Metz;Lorraine;France
71 Lillian Point;;Cipeucang;;Indonesia
54340 Trailsway Park;63136;Saint Louis;Missouri;United States
06 Fremont Crossing;;Cogreg Wetan;;Indonesia
657 Prentice Hill;;Quế Sơn;;Vietnam
79454 Buell Terrace;9674;Winschoten;Provincie Groningen;Netherlands
8675 Cordelia Lane;;Minian;;Indonesia
54089 Stephen Point;;Jagabaya Dua;;Indonesia
68759 Red Cloud Pass;6905;Stamford;Connecticut;United States
595 Dawn Place;;Wenfu;;China
01 Evergreen Junction;44629;Herne;Nordrhein-Westfalen;Germany
8 Harper Point;5385;Tama;;Argentina
2639 Superior Pass;;Wahang Dua;;Indonesia
339 Orin Way;177007;Belalcazar;;Colombia
4 Troy Place;;Baikui;;China
7401 Bartillon Junction;9545-214;Fenais da Luz;Ilha de São Miguel;Portugal
0 Homewood Place;5510;Lalmanirhat;;Bangladesh
09 Calypso Street;1174;Andop;;Philippines
716 Ohio Terrace;;Nanying;;China
730 Lakewood Trail;;Kihangara;;Tanzania
4823 Johnson Pass;2640-394;Mafra;Lisboa;Portugal
79601 Golf Course Place;;Lezhu;;China
67 Sullivan Court;;San Agustin;;Peru
070 Maryland Point;;Qiaosi;;China
154 Roxbury Avenue;678620;Ust-Maya;;Russia
26 Twin Pines Junction;521529;La Unión;;Colombia
684 Riverside Point;60193;Schaumburg;Illinois;United States
58 Eastlawn Parkway;;Zhucun;;China
7 Petterle Trail;;Hechuan;;China
36189 Laurel Hill;;Masebewa;;Indonesia
7 Rieder Plaza;5030-473;Santa Marta de Penaguião;Vila Real;Portugal
618 Barnett Park;;António Enes;;Mozambique
2 Melby Hill;;Jaqué;;Panama
60726 Carioca Lane;9318;Digdig;;Philippines
252 Buhler Avenue;303622;Olenegorsk;;Russia
5 Corry Terrace;;‘Arad;;Israel
0 Grim Parkway;;Novomykolayivka;;Ukraine
7414 Hoard Street;;Palaiomonástiron;;Greece
2532 Delladonna Court;;Wujing;;China
17879 Kinsman Center;7644;Kaiapoi;;New Zealand
873 Sachs Park;10004;New York City;New York;United States
88 Burrows Way;;Taihe;;China
6 Maple Wood Trail;;Linquan;;China
38 Hansons Park;186326;Novaya Derevnya;;Russia
23344 Bluejay Pass;;Bāsht;;Iran
7 Old Shore Avenue;687 38;Nedakonice;;Czech Republic
27 Sloan Junction;1870;Lanús;;Argentina
24318 Mcbride Parkway;;Dongting;;China
0 Luster Avenue;76140;Khao Yoi;;Thailand
21978 Longview Road;9408;Carmen;;Philippines
2084 Memorial Junction;3122;Lupao;;Philippines
81 Lien Trail;23605;Newport News;Virginia;United States
7 Dahle Alley;;Ai Tu;;Vietnam
76107 Kim Parkway;;Jiantang;;China
275 Talmadge Circle;5301;Aminga;;Argentina
43466 Nevada Avenue;;Lueng Putu;;Indonesia
025 Schlimgen Plaza;87-401;Golub-Dobrzyń;;Poland
1413 Morning Circle;2776;Delareyville;;South Africa
5822 Scofield Point;;Yên Bái;;Vietnam
061 Reindahl Pass;;Muhoroni;;Kenya
78091 7th Way;18105;Allentown;Pennsylvania;United States
1789 Starling Way;;Qushi’an;;China
249 Kim Crossing;;Huallanca;;Peru
0243 David Alley;;Hongchuan;;China
5194 Russell Place;32253;Komletinci;;Croatia
224 Derek Junction;;Chuandao;;China
23237 Darwin Drive;M3H;North York;Ontario;Canada
94557 Fairfield Junction;;Ponta do Sol;;Cape Verde
89831 High Crossing Terrace;;Lianhua;;China
1 Anderson Point;164 45;Kista;Stockholm;Sweden
9096 Anhalt Point;;Cipondok;;Indonesia
80775 Anderson Pass;;Rizómata;;Greece
1 Division Alley;48744;San Pedro;Jalisco;Mexico
4 Lawn Hill;;Geoktschai;;Azerbaijan
91 Sutherland Road;;Bayan;;China
72410 Randy Hill;;Khūgyāṉī;;Afghanistan
3 Badeau Place;6030-006;Vila Velha de Ródão;Castelo Branco;Portugal
7 Dayton Lane;;Margamukti;;Indonesia
010 Crownhardt Plaza;2016;Apalit;;Philippines
435 Elmside Plaza;666 32;Bengtsfors;Västra Götaland;Sweden
76 Vera Plaza;12400-000;Pindamonhangaba;;Brazil
9 Russell Place;93104 CEDEX;Montreuil;Île-de-France;France
9572 Hagan Court;;Xiaogang;;China
6 Hallows Court;5631;Chilmāri;;Bangladesh
21 Fuller Street;;Jiaoyuan;;China
52 Ramsey Point;;Agnibilékrou;;Ivory Coast
71 Katie Circle;;Dongsheng;;China
20 Sunfield Parkway;;Markala;;Mali
8782 Ridge Oak Pass;;Kowang Utara;;Indonesia
92 Hagan Trail;;Jingdang;;China
66169 Utah Avenue;;Hengxi;;China
4 Calypso Hill;58-580;Szklarska Poręba;;Poland
341 Becker Court;;Parumasan;;Indonesia
7 Eagan Point;;Huangjindong;;China
5350 Moland Hill;;Xinjian;;China
42 Moulton Crossing;427010;Pirogovo;;Russia
8 Farragut Plaza;368326;Khadzhalmakhi;;Russia
978 New Castle Junction;52140;Wang Thonglang;;Thailand
4 Gerald Center;;Baima;;China
747 Nancy Junction;;Pailou;;China
3203 Tony Road;;Kuntong;;China
825 Beilfuss Terrace;632351;Kuybyshev;;Russia
728 Melby Parkway;80044;Aurora;Colorado;United States
580 Thompson Pass;675 31;Louka;;Czech Republic
80543 Buhler Road;;Ülken;;Kazakhstan
8 American Circle;;Ambam;;Cameroon
9 Esker Court;9408;Carmen;;Philippines
5836 Elgar Place;94330;Solidaridad;Veracruz Llave;Mexico
3222 Kinsman Point;793-0213;Saijō;;Japan
217 Ohio Lane;;Huayuan;;China
75 Thompson Hill;13140-000;Paulínia;;Brazil
56 Colorado Park;551 01;Jaroměř;;Czech Republic
85 Bobwhite Avenue;21006;Monjas;;Guatemala
33482 Boyd Hill;4703;Little Baguio;;Philippines
48507 Dwight Circle;966-0847;Machida;;Japan
0 Dakota Junction;599 92;Ödeshög;Östergötland;Sweden
67 Village Court;;Florencia;;Cuba
71 Iowa Street;22004;Agua Blanca;;Guatemala
070 Heffernan Place;2313;Razvanje;;Slovenia
3471 7th Circle;;Boro;;Indonesia
758 Moulton Way;;Juhaynah;;Egypt
2 Bluestem Pass;;Gongqiao;;China
6950 West Crossing;D10;Gort;;Ireland
66 Pierstorff Parkway;;Libu;;China
32 Grover Point;3318;Pagsabangan;;Philippines
3 Old Gate Alley;49120;Don Tan;;Thailand
3184 Calypso Avenue;;Changfeng;;China
24 Dwight Street;75210;Dallas;Texas;United States
76 Merrick Alley;183 77;Täby;Stockholm;Sweden
2 Red Cloud Point;;As Suwaydā;;Yemen
9 Hollow Ridge Circle;;Smara;;Western Sahara
9 Bunting Center;9847;Riverton;;New Zealand
95074 Evergreen Hill;2437;Palguyod;;Philippines
849 Algoma Point;22710;Föglö;;Aland Islands
8975 Memorial Trail;;Hualingang;;China
047 Towne Alley;;Bradag;;Indonesia
2 Sunfield Hill;;Maglajani;;Bosnia and Herzegovina
46643 Rockefeller Pass;;Todorovo;;Bosnia and Herzegovina
884 Dunning Parkway;08600-000;Suzano;;Brazil
03594 Eggendart Crossing;357838;Lysogorskaya;;Russia
516 Shelley Lane;;Jinshan;;China
4 Grayhawk Way;;Cibiru;;Indonesia
24 Monument Court;4360;Karlovo;;Bulgaria
9603 Mandrake Terrace;;Monastir;;Tunisia
5 Fair Oaks Plaza;;Hangwula;;China
542 Maple Point;88385-000;Penha;;Brazil
04368 Claremont Lane;;Dongshi;;China
040 Swallow Parkway;;Gložan;;Serbia
4 Fremont Point;;Ma‘arrat an Nu‘mān;;Syria
17 Commercial Center;;Pengilon;;Indonesia
43 Upham Park;31-827;Dzików Stary;;Poland
2 Fisk Plaza;23237;Richmond;Virginia;United States
8 Glendale Hill;;Xiaomiaozi;;China
9 Upham Road;;Nepeña;;Peru
7045 Jenifer Parkway;;Yanggu’ao;;China
393 Loftsgordon Park;;Xiaochi;;China
45 Hoffman Park;H9G;Lillooet;British Columbia;Canada
51 Blaine Plaza;76105-000;Firminópolis;;Brazil
7460 Grover Junction;;Kampungmasjid;;Indonesia
0802 Ramsey Park;665061;Novobiryusinskiy;;Russia
0 Ilene Trail;;Tarub;;Indonesia
964 Hoard Junction;;Shanxiahu;;China
3 Westridge Junction;;Xicheng;;China
3677 Oak Valley Circle;;Sabana de Parra;;Venezuela
5910 Banding Pass;164509;Severodvinsk;;Russia
47 Schiller Park;7210;Hermanus;;South Africa
6 Merrick Parkway;;Jāsim;;Syria
5910 Harbort Plaza;5849;Bergen;Hordaland;Norway
21 Burrows Circle;;Tangqian;;China
9069 Pennsylvania Drive;;Khulo;;Georgia
956 Magdeline Street;46175;San Francisco;Jalisco;Mexico
438 Loomis Circle;11130;Ratchathewi;;Thailand
9006 Tennyson Street;2445;Tayug;;Philippines
35 Talisman Drive;4650-669;Telheira;Porto;Portugal
6 Summit Crossing;;Orahovac;;Kosovo
170 Moose Junction;;Oygon;;Mongolia
01379 Lien Plaza;;Shatian;;China
552 Messerschmidt Plaza;751 22;Osek nad Bečvou;;Czech Republic
108 Dexter Place;W34;Thomastown;;Ireland
41698 Lillian Road;;Gaborone;;Botswana
1634 Claremont Place;;Puerto Cumarebo;;Venezuela
15025 Carey Pass;;Huangpo;;China
990 Monterey Parkway;;Bhokadoke;;Indonesia
78 Village Green Park;;Gornje Živinice;;Bosnia and Herzegovina
13380 Loomis Terrace;;Zarzis;;Tunisia
69532 Fairfield Trail;;Yidao;;China
584 Moulton Alley;;Stýpsi;;Greece
07 Stoughton Circle;88564;Kota Kinabalu;Sabah;Malaysia
345 Truax Junction;;Bali;;Cameroon
6248 Blaine Center;;Sishui;;China
151 Lakewood Gardens Drive;2430;Minien East;;Philippines
65098 High Crossing Trail;37-312;Łętownia;;Poland
26447 Fairfield Way;;Tingzhou;;China
38 Lighthouse Bay Road;;Jiaoxiyakou;;China
3720 Oxford Alley;;Liquica;;East Timor
771 Waywood Lane;83087;Palmar de Varela;;Colombia
8631 Arkansas Parkway;;Mosfilotí;;Cyprus
83288 Jenifer Plaza;;Cisaat;;Indonesia
3945 Waxwing Plaza;8304;Emmeloord;Provincie Flevoland;Netherlands
42113 John Wall Court;610-0331;Tanabe;;Japan
7355 Fremont Plaza;32128;Daytona Beach;Florida;United States
2071 Brown Trail;;Namyang-dong;;North Korea
3 Reindahl Place;5105;Santa Cruz;;Philippines
1 Southridge Place;;Metulla;;Israel
4190 East Way;;Dawuhan;;Indonesia
3 Farragut Pass;;Itacurubí del Rosario;;Paraguay
1 Dexter Hill;;Anxi;;China
42910 Kropf Place;612730;Lesnyye Polyany;;Russia
4478 Bay Plaza;;Padangcermin;;Indonesia
1 Kennedy Hill;;Jurangjero;;Indonesia
67 Warner Place;;Santa Bárbara;;Venezuela
1 School Park;3081;Dundee;;South Africa
76485 Maple Wood Place;;Ḩāfiz̧ Moghul;;Afghanistan
8802 Center Pass;;Laraos;;Peru
58831 Loftsgordon Point;756 14;Francova Lhota;;Czech Republic
98 Ridgeview Circle;;Dayr Mawās;;Egypt
18529 Fremont Avenue;7213;Concepcion;;Philippines
86455 Donald Road;;Pateh Sam;;Gambia
19 Coolidge Center;;Layo;;Peru
847 Hayes Circle;4200;Santiago del Estero;;Argentina
372 Kim Point;95-083;Lutomiersk;;Poland
1 Warbler Point;;Fengxizhai;;China
0672 Knutson Street;357 09;Habartov;;Czech Republic
81 Sugar Plaza;6227;San Juan;;Philippines
304 Hollow Ridge Place;;Murun-kuren;;Mongolia
6321 International Plaza;396841;Karpogory;;Russia
1 Fallview Hill;;Nangabulik;;Indonesia
771 Mayfield Park;40324;Goričan;;Croatia
716 Bunting Court;;Kryvyy Rih;;Ukraine
2 Hintze Center;;Andkhōy;;Afghanistan
73 Memorial Alley;;Chechenglu;;China
560 Old Shore Lane;;La Ligua;;Chile
2 Autumn Leaf Center;42-580;Psary;;Poland
3053 Granby Avenue;10109;La Julia;;Dominican Republic
1798 Westport Court;;Sumberan;;Indonesia
5426 Meadow Valley Lane;66-008;Świdnica;;Poland
52459 Scofield Avenue;26953 CEDEX 9;Valence;Rhône-Alpes;France
218 Parkside Center;;Lewotukan;;Indonesia
6595 Forest Dale Way;;Chapayeve;;Ukraine
9957 Memorial Point;;Gambiran;;Indonesia
52021 Monument Parkway;2695-584;Vale de Figueira;Lisboa;Portugal
27988 Waywood Drive;2720;Zoetermeer;Provincie Zuid-Holland;Netherlands
56401 Sheridan Park;;Al ‘Ayzarīyah;;Palestinian Territory
8 Petterle Alley;86430-000;Santo Antônio da Platina;;Brazil
3 Dottie Street;72-510;Wolin;;Poland
12950 Elgar Junction;;Hengshi;;China
88694 Loomis Hill;649240;Chemal;;Russia
48500 Rowland Park;7420;Jhingergācha;;Bangladesh
6348 Golden Leaf Pass;;Graikochóri;;Greece
4 Bluestem Center;;Nambak Tengah;;Indonesia
2807 Sherman Terrace;;Wengyang;;China
7 Dennis Alley;;Zahedan;;Iran
0 Calypso Parkway;78930-000;Ariquemes;;Brazil
02 Eastlawn Avenue;8610;Tawan tawan;;Philippines
84930 Caliangt Terrace;;Puan Selatan;;Indonesia
4073 Havey Crossing;2890-206;Samouco;Setúbal;Portugal
18810 Riverside Hill;;Larangan;;Indonesia
4392 Declaration Place;696 13;Šardice;;Czech Republic
11 7th Street;L5W;Mississauga;Ontario;Canada
4165 Sauthoff Road;8217;Nesebar;;Bulgaria
902 Ruskin Plaza;;Ventanas;;Ecuador
3972 Mayer Alley;9850-068;Biscoitos;Ilha de São Jorge;Portugal
2 Bay Point;5103;Macapsing;;Philippines
261 Bonner Road;;Jandir;;Indonesia
060 Eastlawn Avenue;;Xiaozhi;;China
469 Blue Bill Park Point;2955-004;Pinhal Novo;Setúbal;Portugal
04 Vahlen Alley;32-400;Myślenice;;Poland
84156 8th Crossing;;Xilu;;China
980 Forster Circle;;Sidu;;China
1 Mendota Crossing;102 27;Stockholm;Stockholm;Sweden
6 Sheridan Way;641334;Ketovo;;Russia
92564 Morrow Crossing;39004 CEDEX;Lons-le-Saunier;Franche-Comté;France
104 Northport Trail;;Qujing;;China
038 Florence Point;79783;San Rafael;San Luis Potosi;Mexico
16 Hudson Court;666021;Baklashi;;Russia
21 Burrows Street;;Lianghu;;China
8563 Fremont Court;10170;Taling Chan;;Thailand
9 Nancy Road;;Zhouji;;China
8 Lake View Hill;H9P;Dollard-Des Ormeaux;Québec;Canada
364 Rigney Lane;44640-000;Riachão do Jacuípe;;Brazil
6270 Rockefeller Junction;94745 CEDEX;Arcueil;Île-de-France;France
271 Mockingbird Lane;;Dembī Dolo;;Ethiopia
3702 Dexter Way;73028;Skaudvilė;;Lithuania
17 Saint Paul Alley;791 21;Falun;Dalarna;Sweden
9604 High Crossing Court;;Khulo;;Georgia
6621 Steensland Court;L-4982;Reckange-sur-Mess;;Luxembourg
54 Mitchell Point;;Baisha;;China
8658 Weeping Birch Place;;Penebel;;Indonesia
2 Drewry Avenue;;Shicheng;;China
5415 Cambridge Trail;;Budva;;Montenegro
72 Ludington Park;;New Yekepa;;Liberia
6 Thackeray Crossing;;Lugovoy;;Kazakhstan
88 Dexter Way;925-0215;Izumo;;Japan
0060 Mendota Pass;G7K;Saguenay;Québec;Canada
6436 Macpherson Parkway;363001;Livadiya;;Russia
10013 Southridge Park;;Bojonegoro;;Indonesia
766 Kingsford Hill;794-2550;Innoshima;;Japan
30 Hudson Terrace;98-273;Klonowa;;Poland
3 Sunnyside Way;;Utan;;Indonesia
26088 Derek Point;;Gagarawa;;Nigeria
509 Delladonna Circle;10030;San José El Ídolo;;Guatemala
31 Kedzie Place;5150-015;Almendra;Guarda;Portugal
728 Namekagon Place;10184;New York City;New York;United States
7 West Park;4880-076;Bilhó;Vila Real;Portugal
09233 Del Sol Terrace;6534;Labnig;;Philippines
3631 Pawling Lane;404480;Chernyshkovskiy;;Russia
9 Sheridan Crossing;;Macun;;China
5 Truax Plaza;9790;Thaba Nchu;;South Africa
20703 Waubesa Center;622937;Krasnaya Polyana;;Russia
9 6th Junction;;Hejiayan;;China
98 Atwood Way;4620-620;Quintães;Porto;Portugal
5051 Waywood Lane;V7X;Wabana;Newfoundland and Labrador;Canada
0360 Hermina Drive;9171;Longyearbyen;;Svalbard and Jan Mayen
13 Judy Center;;Makiv;;Ukraine
8 Debs Street;798 43;Ptení;;Czech Republic
31 Red Cloud Street;;Ourovéni;;Comoros
63142 Northfield Court;;Thủ Thừa;;Vietnam
8 Oak Road;;Zhangqing;;China
75033 Sheridan Terrace;17860-000;Pacaembu;;Brazil
94692 Nevada Court;589 00;Linköping;Östergötland;Sweden
12605 3rd Place;;Daohe;;China
62595 Lillian Crossing;;Curug;;Indonesia
578 Dexter Lane;;Gangkou;;China
1565 Fairview Circle;;Inhambane;;Mozambique
1881 Warbler Trail;;Panzhou;;China
9 Myrtle Parkway;;Mardzad;;Mongolia
306 Morningstar Center;;Shuiyin;;China
37709 Dottie Plaza;44130;Borabue;;Thailand
07838 Nancy Court;;Padangulaktanding;;Indonesia
10308 Shopko Crossing;952-2224;Ishige;;Japan
411 Roth Crossing;63150-000;Campos Sales;;Brazil
140 Eastwood Lane;666137;Khuzhir;;Russia
9 Manley Circle;;Tapakrejo;;Indonesia
10 Oak Crossing;47520-000;Ibotirama;;Brazil
7818 Namekagon Street;1320;København;Region Hovedstaden;Denmark
178 Mallard Court;;Jagabaya Dua;;Indonesia
531 Hoepker Circle;;Caijiapu;;China
838 Algoma Place;;Hekou;;China
97432 Summit Hill;5850;Río Tercero;;Argentina
66046 Scott Parkway;;Bazha;;China
75637 Waxwing Alley;233 94;Svedala;Skåne;Sweden
7132 7th Pass;39280;Las Animas;Guerrero;Mexico
2571 Amoth Lane;4595-075;Eiriz;Porto;Portugal
99642 Rieder Lane;;Voskopojë;;Albania
1 Donald Crossing;89280-000;Corupá;;Brazil
25 Green Point;;Argotirto Krajan;;Indonesia
617 Golf Course Trail;6905;Stamford;Connecticut;United States
73518 Farragut Crossing;;Samothráki;;Greece
12152 Hallows Way;;Fengjiang;;China
29547 Swallow Trail;35220;Kruševica;;Croatia
14 Saint Paul Way;;Pangkalan;;Indonesia
569 Summer Ridge Court;659690;Soloneshnoye;;Russia
514 Dottie Place;623511;Lebedyan’;;Russia
72 Northport Center;L9Y;Collingwood;Ontario;Canada
0288 Cardinal Parkway;;Paico;;Peru
996 Aberg Road;94970;Manlio Fabio Altamirano;Veracruz Llave;Mexico
91 6th Road;;Fengjiang;;China
92577 Memorial Road;;Junín;;Peru
43 Eagan Street;;Kebonagung;;Indonesia
65 Kenwood Point;;Thị Trấn Quán Lào;;Vietnam
1122 Forest Run Junction;4326;Herrera;;Argentina
55345 Canary Street;990-0812;Chitose;;Japan
0062 Myrtle Crossing;5609;Buruanga;;Philippines
46 Bonner Junction;;Ajdabiya;;Libya
349 Declaration Place;;Macheke;;Zimbabwe
59 Nevada Crossing;9100-153;Santa Cruz;Ilha da Madeira;Portugal
77950 Jenifer Hill;2560-234;Torres Vedras;Lisboa;Portugal
9603 Rowland Alley;;Muarabadak;;Indonesia
3 Barnett Hill;6407;San Antonio;;Philippines
85663 Summerview Place;4281;Margate;;South Africa
5612 Melby Junction;788 32;Staré Město;;Czech Republic
56 Kim Center;;Jilong;;China
99610 Blackbird Pass;;Budakovo;;Kosovo
637 Ridgeview Road;;Pasirmalang;;Indonesia
9 Myrtle Terrace;;Sandaotong;;China
9824 Johnson Crossing;6242;Uitenhage;;South Africa
9 Novick Hill;;Tengqiao;;China
216 Riverside Point;7705;Steinkjer;Nord-Trondelag;Norway
8 Dorton Place;95697 CEDEX;Goussainville;Île-de-France;France
656 Logan Place;;Zhaiwu;;China
96 Eggendart Park;;Xiabuji;;China
1 Tennyson Point;;Kebili;;Tunisia
